BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-9.08697,-7.38778,-0.313953,0.0553091,0.0305932,0.0231435,6.67399,0.2,0.144094,0,0
-2.54311,-1.61793,-1.4256,0.00464211,0.0898485,0.0307816,6.10401,0.247428,0.204779,1000,1
-2.56384,-1.74671,-1.60307,0.00309465,0.0877989,0.00469775,6.45485,0.236509,0.194399,2000,3
-2.52294,-1.8306,-1.65726,0.00679405,0.077769,0.000191677,6.50682,0.239766,0.18654,3000,4
-2.38878,-1.85601,-1.64333,0.00152455,0.0742347,0.000135973,6.56625,0.232512,0.184962,4000,5
-2.3465,-1.87889,-1.66386,0.00864044,0.0595472,0.000447138,6.53356,0.239297,0.182349,5000,6
-2.25451,-1.91185,-1.64035,0.00623656,0.0466083,0.00116641,6.69476,0.231741,0.18224,6000,6
-2.13623,-1.87824,-1.67051,0.00461087,0.0407555,0.000806775,6.75523,0.235642,0.18382,7000,7
-2.25654,-1.89573,-1.67175,0.00304443,0.0542199,0.000490267,6.56798,0.237073,0.18054,8000,8
-2.22551,-1.91658,-1.65347,0.00751528,0.0476073,4.75893e-05,6.66118,0.237084,0.182672,9000,8
-2.15936,-1.90695,-1.72558,0.00807217,0.0384499,0.000214591,6.67726,0.234165,0.177808,10000,9
-2.08837,-1.91619,-1.69792,0.00724525,0.0324177,0.00176156,6.68287,0.238467,0.182401,11000,10
-2.18645,-1.90983,-1.70777,0.00462122,0.0466971,0.00167642,6.76009,0.23808,0.178539,12000,11
-2.20765,-1.95013,-1.7062,0.00365771,0.0591591,0.000901613,6.60963,0.237423,0.176942,13000,11
-2.17141,-1.94136,-1.70228,0.00631509,0.0446855,3.64355e-05,6.65062,0.232541,0.17906,14000,12
-2.19062,-1.90568,-1.69041,0.00451509,0.0573545,0.00082337,6.72375,0.231866,0.18036,15000,13
-2.14691,-1.93704,-1.72569,0.00736057,0.0440402,0.000836571,6.63503,0.236945,0.178504,16000,14
-2.26505,-1.96139,-1.75873,0.00694,0.0536223,0.000589227,6.80078,0.236483,0.17577,17000,14
-2.29821,-1.94149,-1.72846,0.00825532,0.0551804,0.00171321,6.81618,0.239029,0.178943,18000,15
-2.21086,-1.95424,-1.7377,0.00654591,0.0437348,0.00047166,6.69173,0.234577,0.172908,19000,16
-2.23823,-1.91815,-1.75829,0.00965074,0.0493274,0.000314073,6.68478,0.231652,0.175169,20000,17
-2.23305,-1.96864,-1.71058,0.00457967,0.0523988,0.00334103,6.57427,0.227291,0.177156,21000,17
-2.24657,-1.93155,-1.74953,0.00554269,0.0500607,0.000472789,6.61705,0.232224,0.177845,22000,18
-2.32391,-1.93363,-1.7249,0.00567363,0.0509776,2.72529e-05,6.62677,0.230618,0.178845,23000,19
-2.26809,-1.94785,-1.7341,0.00600619,0.051638,8.25336e-05,6.68536,0.23294,0.175892,24000,19
-2.29715,-1.92644,-1.74076,0.00805289,0.0545443,0.000478653,6.72205,0.229221,0.175371,25000,20
-2.24241,-1.95059,-1.72927,0.0078329,0.0443812,0.00187793,6.58837,0.231911,0.176664,26000,21
-2.24474,-1.94445,-1.74082,0.00694235,0.0476891,0.00069754,6.6005,0.227964,0.176671,27000,22
-2.21994,-1.96286,-1.75675,0.0109395,0.04506,0.00200519,6.66254,0.232159,0.17425,28000,22
-2.26993,-1.92285,-1.7411,0.00584794,0.0466914,0.000954737,6.60294,0.230088,0.176327,29000,23
-2.30747,-1.93726,-1.7384,0.00380038,0.0561402,0.000122993,6.68072,0.230202,0.175462,30000,24
-2.24172,-1.95936,-1.75265,0.00782049,0.0474198,0.000544915,6.66395,0.22754,0.174684,31000,25
-2.26358,-1.94245,-1.74107,0.00819475,0.0436221,3.68161e-05,6.61471,0.225787,0.176386,32000,25
-2.26039,-1.94396,-1.72514,0.0103631,0.0484854,0.000686171,6.63761,0.228945,0.176195,33000,26
-2.35443,-1.95724,-1.74722,0.0129258,0.0437293,0.00228201,6.83023,0.229979,0.174293,34000,27
-2.28759,-1.94759,-1.73534,0.0086093,0.0477995,0.00336362,6.68154,0.22416,0.174819,35000,27
-2.31026,-1.96281,-1.75297,0.0104298,0.0449561,0.00140657,6.66704,0.223624,0.175862,36000,28
-2.29253,-1.98484,-1.76812,0.00678565,0.053621,0.000317705,6.67637,0.225194,0.172624,37000,29
-2.32377,-1.95537,-1.77381,0.00741851,0.0496008,0.000153646,6.62815,0.226186,0.174064,38000,29
-2.36688,-1.96506,-1.76133,0.012769,0.046799,0.00463573,6.58896,0.225382,0.17489,39000,30
-2.3207,-1.93039,-1.74861,0.00768878,0.0511245,0.000872933,6.60848,0.22727,0.174256,40000,31
-2.30366,-1.93573,-1.78555,0.00687435,0.0421348,0.000882871,6.56929,0.22855,0.171746,41000,32
-2.36344,-1.97304,-1.79908,0.0158154,0.0399947,0.000608827,6.70681,0.226726,0.172028,42000,32
-2.31337,-1.9636,-1.83341,0.012592,0.0347124,0.000306511,6.74248,0.225874,0.16903,43000,33
-2.37961,-1.93292,-1.7959,0.0108882,0.0518369,2.55768e-05,6.58468,0.227322,0.1718,44000,34
-2.3125,-1.98055,-1.81303,0.00989365,0.0466292,0.00228864,6.66412,0.22522,0.169562,45000,34
-2.38672,-1.97056,-1.77027,0.0109609,0.0539043,8.27497e-05,6.73177,0.220815,0.173881,46000,35
-2.41378,-1.951,-1.78935,0.0143322,0.0486007,0.0027604,6.70556,0.223676,0.171959,47000,36
-2.34817,-1.99155,-1.79413,0.00962244,0.0468864,0.000389844,6.71616,0.222466,0.169749,48000,37
-2.43578,-1.98021,-1.80664,0.012002,0.0482012,0.000178376,6.63332,0.222876,0.171157,49000,37
-2.36541,-1.96264,-1.77095,0.0135114,0.0436408,0.00264197,6.81602,0.2252,0.170926,50000,38
-2.32913,-1.96344,-1.76403,0.0125658,0.0489587,0.00254877,6.69228,0.222211,0.172307,51000,39
-2.34451,-1.97817,-1.81413,0.0127692,0.0433853,0.000962075,6.60912,0.22372,0.171531,52000,39
-2.45704,-1.9577,-1.78368,0.0153013,0.0461444,2.43653e-05,6.52326,0.217358,0.170327,53000,40
-2.28299,-1.97242,-1.81102,0.0148714,0.0370749,0.00110513,6.60428,0.219218,0.169496,54000,41
-2.47874,-1.96815,-1.82015,0.0170098,0.048699,6.8151e-05,6.61619,0.222701,0.168439,55000,42
-2.44346,-1.95622,-1.80099,0.016099,0.040821,0.00149623,6.67266,0.218191,0.170883,56000,42
-2.41121,-1.95823,-1.80349,0.0125869,0.0502869,0.000320807,6.6329,0.220444,0.169792,57000,43
-2.39035,-1.98626,-1.78981,0.0123683,0.0479798,0.00245515,6.65081,0.218124,0.167817,58000,44
-2.42299,-1.96702,-1.76753,0.0141317,0.0532906,0.000887965,6.66022,0.221629,0.170398,59000,44
-2.41287,-1.97043,-1.82371,0.0183087,0.0412465,0.00112403,6.67939,0.221999,0.171326,60000,45
-2.3748,-2.00058,-1.81168,0.0158082,0.0428915,0.00218379,6.84176,0.220156,0.167667,61000,46
-2.4637,-1.99869,-1.80898,0.0133397,0.0537443,8.95422e-05,6.72431,0.223119,0.167906,62000,47
-2.47668,-1.97313,-1.79836,0.0156552,0.0481126,0.000721389,6.69471,0.22089,0.170182,63000,47
-2.45218,-1.95778,-1.84216,0.0136397,0.0549515,0.00048902,6.66691,0.218225,0.170755,64000,48
-2.40659,-1.9772,-1.81995,0.0154219,0.0421997,8.16449e-05,6.77488,0.215867,0.166783,65000,49
-2.47914,-1.96303,-1.84013,0.0151925,0.0507692,0.00169451,6.6723,0.21612,0.166828,66000,49
-2.43186,-1.97238,-1.82333,0.0167867,0.0421106,0.00449583,6.72408,0.216676,0.168482,67000,50
-2.50876,-1.96129,-1.84677,0.0152725,0.0539295,0.0018744,6.56116,0.216901,0.168012,68000,51
-2.43639,-1.99621,-1.82557,0.0150694,0.0508003,0.00390893,6.66122,0.214341,0.168132,69000,52
-2.51571,-1.99818,-1.83861,0.0185676,0.0541517,0.000289837,6.66241,0.214743,0.166084,70000,52
-2.35651,-1.96643,-1.83641,0.0096534,0.0507467,0.00194744,6.70734,0.212421,0.167727,71000,53
-2.42147,-1.96762,-1.82999,0.0173136,0.0411075,0.0010065,6.67386,0.212017,0.167825,72000,54
-2.46409,-1.98683,-1.8403,0.0177491,0.0483583,0.000159042,6.62157,0.214488,0.169028,73000,54
-2.492,-1.99857,-1.8495,0.0177568,0.0476972,0.000995425,6.76296,0.215387,0.166964,74000,55
-2.41581,-2.01389,-1.85359,0.0160128,0.0499928,0.0014371,6.6532,0.214534,0.162783,75000,56
-2.45802,-2.00439,-1.82985,0.0215596,0.0386151,0.00139593,6.649,0.214036,0.166965,76000,57
-2.45888,-1.99463,-1.81687,0.0176601,0.0427443,0.00221604,6.65744,0.215039,0.166742,77000,57
-2.52059,-2.00183,-1.83804,0.0260018,0.0417672,0.000664689,6.68511,0.212001,0.163308,78000,58
-2.57498,-2.01913,-1.85554,0.019223,0.0538368,0.00236109,6.76592,0.213564,0.16455,79000,59
-2.4273,-1.94685,-1.83172,0.019156,0.0433558,0.00114474,6.5629,0.208443,0.165473,80000,60
-2.45248,-2.00233,-1.85644,0.0147479,0.0504453,0.00115434,6.6066,0.21242,0.163657,81000,60
-2.4363,-2.01894,-1.86497,0.0195772,0.0408501,0.000414023,6.65937,0.213918,0.164993,82000,61
-2.48747,-2.03036,-1.84661,0.0214062,0.0424076,0.000310491,6.70932,0.21043,0.164369,83000,62
-2.46701,-2.00459,-1.88829,0.0168537,0.0440275,0.00212556,6.82288,0.209416,0.166328,84000,62
-2.39681,-1.95944,-1.85115,0.0157481,0.0496594,0.000282319,6.68318,0.210822,0.165413,85000,63
-2.49682,-1.99257,-1.83626,0.0199399,0.047583,0.000653335,6.57067,0.209368,0.165274,86000,64
-2.42178,-2.00009,-1.87398,0.0157902,0.041403,0.00132329,6.51564,0.210458,0.163141,87000,65
-2.46122,-2.0119,-1.86523,0.0165797,0.0431735,0.000918441,6.64537,0.209602,0.161327,88000,65
-2.46005,-2.00084,-1.85155,0.017942,0.0417295,0.000471511,6.69379,0.21352,0.165791,89000,66
-2.40531,-2.00115,-1.8451,0.0136813,0.0487626,0.000343911,6.80333,0.208502,0.165426,90000,67
-2.541,-1.98913,-1.84685,0.0219777,0.0416997,0.00110826,6.59279,0.210285,0.165864,91000,68
-2.41953,-2.00035,-1.87486,0.0146929,0.0467836,0.000678435,6.68756,0.211929,0.16319,92000,68
-2.46526,-2.0204,-1.84042,0.0129142,0.0472728,0.00057393,6.59361,0.212503,0.16169,93000,69
-2.51709,-1.99875,-1.84273,0.0155614,0.0484018,0.00182195,6.75286,0.21139,0.163663,94000,70
-2.38143,-2.00116,-1.85949,0.0145143,0.0478483,0.00220396,6.66891,0.206945,0.163962,95000,70
-2.45431,-2.05292,-1.86298,0.0180934,0.0465751,0.00150214,6.58108,0.211071,0.163357,96000,71
-2.36609,-2.04576,-1.87415,0.015746,0.0365614,0.000415394,6.67387,0.208692,0.158965,97000,72
-2.46153,-2.00703,-1.89577,0.0118923,0.0487395,0.00315996,6.73453,0.207648,0.161711,98000,73
-2.43935,-2.02606,-1.86748,0.0154881,0.0516618,0.00150729,6.56546,0.211659,0.162078,99000,73
-2.41843,-2.03322,-1.88279,0.0192049,0.0422657,0.00184994,6.69623,0.209413,0.163524,100000,74
-2.41693,-2.05441,-1.86359,0.0132447,0.0448658,0.00106472,6.55244,0.207711,0.159568,101000,75
-2.49228,-2.00195,-1.88321,0.023502,0.0352891,6.69418e-05,6.54568,0.208464,0.161836,102000,76
-2.47136,-2.01912,-1.85313,0.0180212,0.0439348,0.00149097,6.72345,0.208776,0.162126,103000,76
-2.4085,-2.02222,-1.88944,0.0165181,0.0407673,0.00344791,6.71019,0.208284,0.161144,104000,77
-2.44298,-2.04107,-1.8759,0.0133258,0.0375909,0.000518544,6.6962,0.205777,0.158286,105000,78
-2.4813,-2.05664,-1.88042,0.0174775,0.0378352,0.00292273,6.66095,0.211623,0.162053,106000,79
-2.513,-2.01745,-1.88166,0.0250617,0.0321221,0.00313363,6.62379,0.210635,0.161314,107000,79
-2.51041,-2.03748,-1.86923,0.0206088,0.0417687,8.086e-05,6.68498,0.205624,0.161765,108000,80
