BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-6.08409,-3.99762,-6.57903,0.0703395,6.61193,0.222392,0.154424,0,0
-2.34007,-1.62974,-1.4774,0.0580583,5.93087,0.252991,0.205011,1000,1
-2.21486,-1.75528,-1.58772,0.0453751,6.25781,0.238734,0.199089,2000,2
-2.18266,-1.81048,-1.6303,0.0355217,6.42617,0.243939,0.191801,3000,3
-2.29156,-1.88323,-1.67244,0.0558001,6.57093,0.23824,0.185412,4000,4
-2.24065,-1.90139,-1.71684,0.0540365,6.61101,0.238909,0.183679,5000,5
-2.36197,-1.91431,-1.72344,0.0605295,6.52709,0.234382,0.182338,6000,5
-2.22986,-1.91749,-1.72941,0.0518739,6.7364,0.23832,0.180707,7000,6
-2.24666,-1.89975,-1.69603,0.0470025,6.67783,0.237195,0.182514,8000,7
-2.2124,-1.94692,-1.71263,0.0489424,6.57377,0.237931,0.182625,9000,8
-2.20295,-1.9247,-1.70417,0.0470964,6.55879,0.236269,0.183217,10000,9
-2.16202,-1.91523,-1.71032,0.0441185,6.64724,0.233193,0.181584,11000,10
-2.25058,-1.93925,-1.72909,0.0516106,6.78715,0.239875,0.179483,12000,11
-2.19024,-1.93786,-1.7122,0.0416153,6.71219,0.234321,0.180712,13000,11
-2.25667,-1.95761,-1.75643,0.0490387,6.58966,0.238702,0.177314,14000,12
-2.20221,-1.91802,-1.75013,0.043843,6.69767,0.229553,0.177431,15000,13
-2.26012,-1.9305,-1.73936,0.0472661,6.61871,0.230053,0.178232,16000,14
-2.22083,-1.94836,-1.73815,0.0497698,6.69393,0.236304,0.179911,17000,15
-2.21574,-1.95644,-1.74254,0.0480028,6.73996,0.232684,0.17901,18000,17
-2.3191,-1.95523,-1.75923,0.0527718,6.63218,0.231273,0.175596,19000,18
-2.24117,-1.96047,-1.73319,0.0451202,6.68745,0.229501,0.177563,20000,19
-2.28342,-1.97288,-1.75393,0.057433,6.7531,0.232177,0.177258,21000,20
-2.3019,-1.96052,-1.75484,0.0488467,6.72785,0.228032,0.176668,22000,21
-2.21676,-1.96294,-1.74382,0.0447378,6.66219,0.229323,0.177409,23000,22
-2.25385,-1.96753,-1.78042,0.047217,6.66834,0.231165,0.175771,24000,23
-2.27732,-1.95688,-1.79191,0.0462992,6.69203,0.231305,0.175578,25000,24
-2.29322,-1.98071,-1.77897,0.0465252,6.52729,0.230323,0.177084,26000,26
-2.24755,-1.94925,-1.78415,0.0423264,6.56933,0.231919,0.175383,27000,27
-2.28631,-1.9659,-1.78783,0.0524079,6.65457,0.225311,0.174856,28000,28
-2.21876,-1.97837,-1.7931,0.0410212,6.57627,0.229079,0.17417,29000,29
-2.28481,-1.96427,-1.78575,0.046062,6.58994,0.229001,0.176467,30000,30
-2.3371,-1.96602,-1.76277,0.0477543,6.65997,0.22734,0.176014,31000,31
-2.31205,-1.97542,-1.78134,0.0483915,6.72566,0.225854,0.174302,32000,32
-2.26404,-1.96615,-1.76968,0.0505396,6.61557,0.228728,0.172955,33000,33
-2.17962,-1.95996,-1.74312,0.0369896,6.69697,0.224254,0.175479,34000,34
-2.24385,-1.98049,-1.76638,0.0435061,6.73053,0.224872,0.176063,35000,35
-2.32532,-1.97833,-1.79993,0.0496962,6.723,0.225716,0.173877,36000,36
-2.3113,-1.97892,-1.78378,0.0456206,6.74682,0.228061,0.174304,37000,37
-2.31747,-2.00036,-1.79241,0.0491429,6.71737,0.227806,0.173557,38000,38
-2.2653,-1.97283,-1.79823,0.0532643,6.65489,0.22264,0.172488,39000,39
-2.30644,-1.9837,-1.79663,0.0496729,6.64444,0.223095,0.173753,40000,40
