BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-6.08409,-3.99762,-6.57903,0,0,0,0.0155027,0.00704095,0.0894721,6.59907,0.21158,0.142857,0,0
-3.59656,-3.09537,-2.90884,1.10211,2.71168,0.654221,0.00242026,0.0568283,0.0416935,5.95926,0.249168,0.204972,1000,1
-3.18231,-2.74798,-2.54521,0.729586,1.83309,0.279598,0.00266862,0.0718689,0.00265068,6.28061,0.244016,0.19506,2000,3
-2.93983,-2.4237,-2.26166,0.410011,1.28834,0.0369199,0.00653171,0.072745,0.000437256,6.40613,0.238524,0.189454,3000,4
-2.63884,-2.13301,-1.86305,0.156691,0.53907,-0.0808676,0.00547226,0.0677075,0.00156736,6.39247,0.237525,0.184931,4000,5
-2.39408,-1.74005,-1.55025,-0.100133,-0.0486858,-0.26233,0.00760604,0.0714079,0.000157248,6.57507,0.237864,0.183314,5000,6
-2.42153,-1.78652,-1.56308,-0.107601,-0.0683417,-0.196185,0.0039113,0.0800283,0.000142321,6.57921,0.238738,0.1832,6000,7
-2.25334,-1.65941,-1.39565,-0.194991,-0.353778,-0.305467,0.00913734,0.0681219,0.00256561,6.63681,0.238625,0.183817,7000,8
-2.09658,-1.52117,-1.27155,-0.255365,-0.72282,-0.386615,0.00702312,0.0759335,0.00107755,6.62541,0.234871,0.178377,8000,10
-1.72967,-1.25434,-1.02228,-0.515543,-1.09499,-0.512449,0.00785414,0.0678749,0.0002186,6.57099,0.2364,0.179447,9000,11
-1.68634,-1.23106,-0.98536,-0.518026,-1.22643,-0.485297,0.00723737,0.0619409,0.00153224,6.66848,0.236353,0.18151,10000,12
-1.65449,-1.14867,-0.910778,-0.532303,-1.41034,-0.483203,0.0051636,0.0695851,0.000339451,6.61365,0.236779,0.180769,11000,13
-1.53964,-1.05719,-0.811378,-0.615207,-1.59339,-0.497042,0.00607508,0.0672673,0.00174892,6.65258,0.232468,0.181753,12000,14
-1.65262,-1.23005,-1.00372,-0.420971,-1.31092,-0.468042,0.00392367,0.0673326,0.00244067,6.66072,0.234586,0.178308,13000,16
-1.77721,-1.30084,-1.07043,-0.452576,-1.15067,-0.491702,0.00557462,0.0665782,0.000800012,6.65853,0.236448,0.177783,14000,17
-1.83738,-1.36304,-1.12854,-0.338252,-1.01923,-0.494692,0.00429652,0.0693158,0.00110066,6.65422,0.235338,0.180935,15000,18
-1.74238,-1.36083,-1.11614,-0.347905,-1.0926,-0.439371,0.00518821,0.0580314,0.000501848,6.67679,0.230966,0.179408,16000,19
-1.69976,-1.19194,-0.9851,-0.497015,-1.28512,-0.529786,0.00800546,0.0647525,0.000462712,6.66765,0.233766,0.178149,17000,20
-1.70335,-1.24448,-1.03549,-0.498946,-1.17548,-0.527766,0.0064776,0.0592675,0.000209502,6.59626,0.232476,0.176542,18000,22
-1.70305,-1.17669,-0.924156,-0.542118,-1.37713,-0.522284,0.00683065,0.0702435,0.000372714,6.63971,0.234378,0.175305,19000,22
-1.76859,-1.30238,-1.053,-0.448224,-1.13905,-0.497022,0.00467905,0.0627631,0.00137113,6.62754,0.234492,0.175313,20000,23
-1.71095,-1.20825,-1.03243,-0.509348,-1.26277,-0.466816,0.00667676,0.0663679,0.00215227,6.61611,0.232587,0.175153,21000,24
-1.73526,-1.2403,-1.02559,-0.534929,-1.17346,-0.550773,0.0067126,0.0704581,0.000883863,6.62585,0.232072,0.176211,22000,25
