BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-9.08697,-7.38778,-0.313953,0.00600453,-0.0229036,0.0250263,0.33727,6.6934,0.202737,0.142857,0,0
-3.16423,-2.70431,-2.51204,0.983191,1.85394,0.537441,0.0430017,5.95915,0.24685,0.204917,1000,1
-2.72253,-2.44855,-2.29525,0.59818,1.18457,0.200858,0.0268459,6.34302,0.241322,0.192149,2000,1
-2.51663,-2.17246,-1.94251,0.236121,0.650598,-0.0401296,0.038388,6.51783,0.239485,0.18513,3000,2
-2.26724,-2.02353,-1.76703,0.172014,0.242597,-0.123751,0.0305512,6.56704,0.237135,0.184967,4000,3
-2.11868,-1.80341,-1.62517,-0.107239,-0.0224854,-0.198981,0.0466248,6.57644,0.239138,0.182574,5000,4
-1.99054,-1.57278,-1.40619,-0.216473,-0.496412,-0.320159,0.0507576,6.5859,0.234655,0.183628,6000,4
-1.93488,-1.52839,-1.3089,-0.280206,-0.663025,-0.394451,0.0557703,6.53592,0.232804,0.179206,7000,5
-1.79721,-1.45715,-1.24799,-0.332692,-0.803228,-0.385396,0.0463937,6.60207,0.233397,0.18083,8000,6
-1.87628,-1.38563,-1.14776,-0.38943,-0.834841,-0.489453,0.0545665,6.61559,0.233856,0.184082,9000,7
-1.79549,-1.36448,-1.11711,-0.388546,-0.963245,-0.550542,0.05784,6.64138,0.234783,0.182429,10000,8
-1.75215,-1.32792,-1.11398,-0.416785,-1.07285,-0.471577,0.056378,6.616,0.236058,0.179895,11000,8
-1.73372,-1.31148,-1.07188,-0.489861,-1.07783,-0.528757,0.0565597,6.70162,0.236869,0.181394,12000,9
-1.68475,-1.23888,-1.00172,-0.516744,-1.21123,-0.534619,0.0592893,6.67174,0.237849,0.183551,13000,10
-1.81641,-1.35927,-1.11769,-0.511935,-0.953581,-0.549591,0.0593464,6.62193,0.231373,0.180252,14000,11
-1.73534,-1.21495,-0.960354,-0.549375,-1.31294,-0.521807,0.0603738,6.53212,0.231365,0.177817,15000,11
-1.62506,-1.07962,-0.840872,-0.75499,-1.51833,-0.649604,0.0670545,6.65303,0.230203,0.176176,16000,12
-1.67625,-1.15004,-0.922822,-0.650703,-1.40633,-0.605987,0.0608193,6.71361,0.234743,0.176674,17000,13
-1.48123,-0.951248,-0.750898,-0.772355,-1.74852,-0.687607,0.0546561,6.75366,0.227959,0.175715,18000,14
-1.62945,-1.00777,-0.750434,-0.74919,-1.648,-0.710143,0.0620183,6.68768,0.233087,0.175648,19000,15
-1.47163,-0.903722,-0.68001,-0.803178,-1.83599,-0.750647,0.0691818,6.59834,0.231805,0.182325,20000,15
-1.52385,-0.96945,-0.76636,-0.646085,-1.793,-0.661468,0.060674,6.6665,0.231413,0.179934,21000,16
-1.50751,-1.02872,-0.818779,-0.687633,-1.64835,-0.675968,0.0628922,6.71118,0.230703,0.178395,22000,17
-1.4343,-1.01411,-0.831563,-0.674738,-1.65268,-0.671034,0.0534512,6.72475,0.232517,0.176418,23000,18
-1.52851,-0.997047,-0.765741,-0.677907,-1.78683,-0.689868,0.0597204,6.61419,0.231351,0.177215,24000,18
-1.61296,-1.15569,-0.908552,-0.556396,-1.47755,-0.613731,0.0574032,6.67994,0.231842,0.175087,25000,19
-1.62321,-1.1538,-0.931047,-0.567005,-1.54425,-0.640468,0.0599839,6.65032,0.231959,0.172951,26000,20
-1.66981,-0.986245,-0.822085,-0.708314,-1.71766,-0.701843,0.0660134,6.78537,0.22857,0.172838,27000,21
-1.43536,-0.864874,-0.672319,-0.764584,-2.00878,-0.760975,0.062306,6.62962,0.225021,0.173275,28000,22
-1.5148,-0.927382,-0.754644,-0.726789,-1.87795,-0.74152,0.0643972,6.79351,0.229662,0.176875,29000,24
-1.62458,-1.12698,-0.916841,-0.65471,-1.51482,-0.7044,0.0658102,6.68316,0.231714,0.173595,30000,25
-1.73202,-1.23308,-1.05556,-0.527704,-1.32571,-0.611549,0.062297,6.74724,0.225592,0.172047,31000,26
-1.72841,-1.28126,-1.08382,-0.463277,-1.25262,-0.650361,0.0551482,6.71696,0.227943,0.170616,32000,27
-1.80267,-1.24892,-1.08705,-0.487235,-1.21517,-0.690485,0.0585471,6.71462,0.231563,0.170649,33000,28
-1.72098,-1.24768,-1.03165,-0.480993,-1.34622,-0.681745,0.0582105,6.5874,0.227514,0.171798,34000,29
-1.74179,-1.22534,-1.02025,-0.540698,-1.27268,-0.744818,0.0591568,6.64038,0.22461,0.172288,35000,30
-1.82319,-1.30824,-1.09539,-0.436934,-1.19524,-0.638854,0.0623564,6.5774,0.228467,0.175157,36000,31
-1.77843,-1.23476,-1.04378,-0.50066,-1.3425,-0.68351,0.0616916,6.6782,0.221668,0.172927,37000,32
-1.78496,-1.219,-1.04566,-0.524055,-1.29555,-0.69231,0.0645573,6.54764,0.223272,0.174035,38000,33
