BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-9.12023,-7.38421,-0.238136,0,0,0,0,0.0627348,0.0238853,0.0133799,6.67945,0.206569,0.16209,0,0
-3.26113,-6.8573,-2.05074,1.76206,-0.415206,-0.426156,1.87141,0.0500489,0.0679115,0.777585,6.44413,0.228802,0.179371,1000,0
-2.821,-4.38435,-1.90097,1.19688,-0.92589,-0.62775,2.01386,0.0312458,0.0671005,0.767908,6.52279,0.219188,0.16601,2000,1
-2.85687,-2.1989,-2.07526,0.298459,-0.494661,-0.951389,-0.640328,0.0471799,0.0356827,0.152075,6.57657,0.218675,0.159846,3000,2
-2.57176,-1.96984,-1.77701,0.0698284,-0.933445,-1.11142,-1.1692,0.0354403,0.0466452,0.127446,6.57477,0.217042,0.153546,4000,2
-2.67187,-1.95765,-1.77041,0.200634,-1.09137,-1.08463,-2.152,0.0414875,0.0518069,0.134006,6.61095,0.217042,0.150493,5000,3
-2.34336,-1.58773,-1.41057,-0.196393,-1.71893,-1.28561,-2.11945,0.0411004,0.0491604,0.143183,6.71419,0.212885,0.151692,6000,4
-2.45958,-1.62711,-1.41413,-0.102918,-1.73016,-1.24159,-2.43114,0.0460838,0.0519021,0.130607,6.6562,0.209802,0.14709,7000,4
-2.35228,-1.35167,-1.18428,-0.315904,-2.2143,-1.39936,-2.81231,0.0503855,0.0594543,0.126869,6.72105,0.211845,0.147352,8000,5
-2.33951,-1.40976,-1.24515,-0.211109,-2.15182,-1.30018,-2.20061,0.0430965,0.0555634,0.127788,6.6882,0.211949,0.145662,9000,6
-2.35949,-1.58487,-1.35246,-0.152556,-1.82613,-1.30294,-1.94474,0.0321399,0.0657299,0.129362,6.75971,0.212337,0.146005,10000,7
-2.26582,-1.41884,-1.19341,-0.183587,-2.21039,-1.35696,-2.31386,0.0344994,0.0746651,0.119771,6.69651,0.21281,0.145283,11000,8
-2.16427,-1.19655,-1.0119,-0.266638,-2.63545,-1.33576,-2.55871,0.0398571,0.0620704,0.111167,6.6858,0.213414,0.14505,12000,8
-2.10271,-1.12798,-0.958455,-0.386712,-2.72663,-1.41285,-2.40435,0.0497502,0.0458929,0.135291,6.67229,0.213908,0.143459,13000,9
-2.12978,-1.03838,-0.87057,-0.465402,-2.85284,-1.52466,-2.62635,0.0449021,0.068572,0.13153,6.61185,0.212971,0.142833,14000,9
-2.12213,-1.02913,-0.849087,-0.511595,-2.93654,-1.49312,-2.63606,0.0459009,0.0692117,0.123067,6.67424,0.21581,0.142461,15000,10
-2.10638,-1.09164,-0.94504,-0.443913,-2.70957,-1.47167,-3.3263,0.0448627,0.0565547,0.126054,6.73683,0.214946,0.143733,16000,10
-2.23014,-1.10589,-0.905837,-0.420791,-2.7921,-1.48292,-3.10084,0.0429976,0.0654537,0.127984,6.63364,0.211302,0.144455,17000,11
-2.16578,-0.997231,-0.840755,-0.561208,-2.87647,-1.50866,-3.28218,0.0443806,0.0595486,0.131081,6.65158,0.211778,0.140197,18000,11
-2.1144,-0.839771,-0.67259,-0.585325,-3.1592,-1.5679,-3.07442,0.0419242,0.0696481,0.108288,6.68488,0.208059,0.142975,19000,11
-2.08527,-0.991335,-0.79245,-0.492237,-2.95688,-1.48439,-3.39713,0.0411238,0.069165,0.103385,6.68864,0.209846,0.142845,20000,12
-2.29032,-1.02664,-0.871025,-0.499089,-2.79304,-1.48578,-3.97794,0.0467797,0.0638777,0.107494,6.71958,0.210488,0.142127,21000,12
-1.99522,-0.970199,-0.753031,-0.506255,-3.03244,-1.56734,-3.78524,0.0421913,0.0694323,0.101693,6.60037,0.212326,0.143372,22000,13
-2.13967,-0.774305,-0.647982,-0.674891,-3.313,-1.63832,-3.41522,0.0472536,0.0715707,0.121899,6.70089,0.211848,0.142615,23000,14
-1.96268,-0.970111,-0.799917,-0.532589,-2.94044,-1.53244,-3.28514,0.0384771,0.0626749,0.110939,6.66165,0.210439,0.141293,24000,15
-2.10309,-1.08002,-0.912844,-0.42202,-2.73344,-1.45129,-3.64625,0.0421595,0.0668574,0.102146,6.808,0.206577,0.144969,25000,16
-2.06568,-1.11741,-0.94257,-0.386411,-2.77256,-1.43192,-4.08271,0.0294614,0.0695377,0.113853,6.70424,0.211449,0.141216,26000,16
-2.25194,-1.00186,-0.891971,-0.551262,-2.77189,-1.49184,-4.09654,0.0395102,0.0706909,0.115118,6.62306,0.207287,0.14251,27000,17
-2.14086,-0.991234,-0.817756,-0.494444,-2.93733,-1.53556,-4.58345,0.0401007,0.0759391,0.109285,6.68416,0.207673,0.142697,28000,18
-2.06466,-0.90518,-0.752665,-0.545115,-3.06399,-1.55137,-4.3186,0.039342,0.0740578,0.109295,6.67592,0.20409,0.142736,29000,19
-2.31035,-1.03603,-0.805962,-0.558415,-2.80863,-1.51114,-4.87027,0.0427025,0.0747645,0.101148,6.56443,0.206849,0.14028,30000,20
-2.05481,-0.816469,-0.65897,-0.615554,-3.26357,-1.55361,-4.76262,0.0493143,0.0591919,0.11622,6.71318,0.208614,0.140738,31000,21
-2.03198,-0.944608,-0.754673,-0.495458,-3.03938,-1.53437,-4.78687,0.0356909,0.0686185,0.105459,6.69575,0.206225,0.142622,32000,21
-2.04581,-0.886312,-0.724543,-0.562569,-3.15753,-1.4981,-4.87186,0.0416611,0.0707653,0.097298,6.65645,0.209112,0.140901,33000,22
-2.12637,-0.951415,-0.75852,-0.509686,-3.08769,-1.49674,-5.19169,0.0375251,0.0822625,0.106753,6.73075,0.210515,0.141966,34000,23
-2.04111,-0.79721,-0.652835,-0.63362,-3.21209,-1.52595,-5.66454,0.0374906,0.0652032,0.0750417,6.6137,0.20755,0.142612,35000,24
-2.1277,-0.908986,-0.734828,-0.579629,-3.09879,-1.51036,-5.24193,0.0439092,0.0708621,0.110134,6.6369,0.209768,0.141716,36000,25
-2.17202,-0.866486,-0.694416,-0.56564,-3.19245,-1.48733,-4.48823,0.0455878,0.0641299,0.0883826,6.59769,0.209995,0.140333,37000,26
-2.09301,-0.808012,-0.640968,-0.597365,-3.24461,-1.5958,-4.58573,0.0415246,0.0705395,0.099987,6.67922,0.207663,0.141879,38000,26
-2.07234,-0.690746,-0.537287,-0.747283,-3.44517,-1.5831,-5.32211,0.0423571,0.0738718,0.101276,6.62482,0.208354,0.141497,39000,27
-2.17613,-0.734747,-0.540677,-0.637893,-3.4819,-1.57618,-5.36292,0.0448199,0.0706505,0.116264,6.60148,0.205365,0.142653,40000,28
-1.98479,-0.826681,-0.633665,-0.597425,-3.33097,-1.50922,-6.02942,0.0455969,0.056743,0.109061,6.69514,0.20801,0.139777,41000,29
-2.05247,-0.678465,-0.514515,-0.767909,-3.46045,-1.61526,-5.59434,0.0554452,0.0533769,0.109248,6.66056,0.208631,0.138422,42000,30
-2.08998,-0.869276,-0.73398,-0.647823,-3.01963,-1.54293,-4.85714,0.0445384,0.0613571,0.104017,6.52834,0.205248,0.141282,43000,31
-2.13612,-0.769773,-0.605845,-0.667041,-3.29759,-1.57557,-5.04044,0.0404217,0.0705356,0.106173,6.57975,0.204972,0.140713,44000,31
-2.12058,-0.784973,-0.625164,-0.65486,-3.19894,-1.51333,-4.48824,0.0367273,0.0754428,0.0829444,6.74687,0.206457,0.141754,45000,32
-2.28922,-0.935582,-0.773766,-0.630314,-2.85614,-1.53765,-4.80902,0.0429901,0.0697623,0.0858579,6.51997,0.203787,0.140627,46000,33
-2.17069,-0.941952,-0.828911,-0.585388,-2.84962,-1.51055,-4.80495,0.0392313,0.069976,0.0906702,6.75804,0.206081,0.143365,47000,34
-2.2912,-0.923637,-0.749958,-0.605399,-2.95644,-1.5631,-4.6831,0.0449782,0.0743771,0.091588,6.66249,0.206359,0.142056,48000,34
-2.31847,-1.10906,-0.908103,-0.456862,-2.64208,-1.39043,-4.42375,0.0429517,0.0647272,0.0783558,6.69637,0.201623,0.141871,49000,35
-2.33049,-1.10548,-0.908423,-0.589483,-2.58197,-1.44446,-4.53679,0.0466382,0.0655681,0.109007,6.63024,0.202484,0.140412,50000,36
-2.19033,-0.984643,-0.838611,-0.493285,-2.86222,-1.45446,-3.64345,0.0372052,0.0758063,0.085104,6.5507,0.200767,0.139284,51000,37
-2.21383,-0.787121,-0.638745,-0.659909,-3.18885,-1.59556,-3.49782,0.0456144,0.0782898,0.0890587,6.76621,0.209291,0.140204,52000,38
-2.18974,-0.857659,-0.669065,-0.642639,-3.12661,-1.51477,-2.84013,0.0429668,0.0680776,0.0974686,6.65001,0.205956,0.14011,53000,39
-2.35148,-1.06268,-0.914832,-0.479624,-2.73692,-1.40772,-3.17477,0.0383291,0.0770024,0.095068,6.66104,0.20488,0.139321,54000,40
-2.24595,-1.0446,-0.860242,-0.512898,-2.78158,-1.4887,-3.84575,0.0411518,0.0656462,0.0966446,6.73329,0.20082,0.140182,55000,41
-2.1821,-1.07671,-0.89602,-0.526954,-2.60128,-1.46531,-4.3079,0.0344606,0.0732886,0.0831223,6.58315,0.207543,0.139072,56000,42
-2.3304,-1.20743,-1.04239,-0.390077,-2.40143,-1.36452,-5.11947,0.0376314,0.0648872,0.0791252,6.63931,0.202081,0.138543,57000,43
-2.29851,-1.04974,-0.856485,-0.531326,-2.66726,-1.54314,-5.94524,0.0424183,0.0664314,0.0754167,6.57042,0.202403,0.139325,58000,44
-2.22788,-1.03065,-0.827019,-0.491756,-2.80669,-1.47109,-5.83159,0.0518408,0.0504948,0.0842149,6.67789,0.201494,0.138568,59000,45
-2.34181,-0.97031,-0.821387,-0.577782,-2.87884,-1.48965,-5.46243,0.0463443,0.072592,0.100564,6.70828,0.200972,0.138868,60000,46
-2.29062,-1.11795,-0.902201,-0.400132,-2.674,-1.40892,-5.66422,0.0458641,0.057723,0.0700835,6.68861,0.200167,0.140557,61000,47
-2.40167,-1.24228,-1.0263,-0.348318,-2.48183,-1.36579,-5.61688,0.0442638,0.0667481,0.0964955,6.67008,0.203607,0.139232,62000,48
-2.36182,-1.25597,-1.07016,-0.369778,-2.31315,-1.40582,-5.64809,0.0448482,0.0614087,0.0799668,6.70305,0.204562,0.139138,63000,49
-2.26678,-1.2549,-1.07855,-0.30592,-2.39316,-1.36315,-5.84864,0.0402514,0.0604632,0.0868529,6.77515,0.203873,0.14043,64000,50
-2.54101,-1.50994,-1.34245,-0.145132,-1.86627,-1.26937,-5.86813,0.0357024,0.0677357,0.0852141,6.7319,0.200323,0.139722,65000,51
-2.50281,-1.45197,-1.26448,-0.219064,-1.99948,-1.27232,-5.96979,0.0402457,0.0598009,0.0833206,6.59931,0.203762,0.13778,66000,52
-2.52913,-1.64847,-1.47865,-0.157317,-1.54716,-1.24628,-6.5191,0.0406315,0.0627021,0.0967836,6.669,0.202206,0.141348,67000,53
