BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, BetaP_SE_7, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-6.0231,-4.04876,-6.56308,-0.01017,-0.033915,0.11196,0.00325424,-0.0216032,0.00393565,8.35985e-09,0.0960643,6.60737,0.2,0.142857,0,0
-3.61045,-3.12474,-2.90488,1.54995,1.29744,1.46799,2.24019,0.83459,0.000346226,0.0614156,0.028839,5.89298,0.253017,0.204567,1000,1
-3.41846,-2.94741,-2.7663,1.41289,0.946936,1.02151,2.25206,0.0969981,0.00309658,0.0731829,0.00154414,6.19842,0.241694,0.196642,2000,2
-3.20724,-2.80482,-2.63832,1.21385,0.740761,0.801285,2.0054,-0.118153,0.00196998,0.0698548,0.000627832,6.41719,0.239833,0.185564,3000,3
-2.99219,-2.47034,-2.32449,0.782224,0.424372,0.368817,1.87349,-0.553875,0.00721662,0.0769759,0.00106744,6.47173,0.241069,0.183585,4000,4
-3.06224,-2.5326,-2.31545,0.866968,0.515074,0.471828,1.54848,-0.318735,0.00629441,0.070591,0.000421312,6.55433,0.236878,0.180721,5000,5
-2.79328,-2.4466,-2.29413,0.904956,0.440005,0.44271,1.41448,-0.328308,0.00361256,0.0551349,0.0030683,6.71877,0.237015,0.18275,6000,7
-2.7227,-2.27804,-2.06711,0.712933,0.164363,0.369276,0.986605,-0.348737,0.00567471,0.0687734,0.000760652,6.62176,0.238001,0.180957,7000,8
-2.6572,-2.25483,-2.06271,0.850126,0.20117,0.401566,0.717504,-0.287252,0.00550945,0.0539174,0.000143734,6.697,0.237163,0.182136,8000,9
-2.58179,-2.15959,-1.99701,0.746591,0.155929,0.307041,0.489816,-0.222719,0.00546044,0.0682338,0.00362147,6.66478,0.23357,0.179765,9000,11
-2.61412,-2.21903,-2.04103,0.560914,0.267436,0.192272,0.806732,-0.330598,0.00615353,0.0677948,0.00120269,6.63027,0.234187,0.179094,10000,12
-2.4784,-2.11004,-1.86724,0.399365,0.147207,0.127162,0.555205,-0.463348,0.00247327,0.0614763,0.000810339,6.7204,0.231875,0.180894,11000,13
-2.386,-1.91354,-1.70047,0.251136,-0.0492333,-0.0762968,0.336006,-0.555461,0.00731228,0.0640793,0.000588141,6.57782,0.233255,0.176777,12000,14
-2.18301,-1.74012,-1.5307,0.110143,-0.183663,-0.181138,-0.0852094,-0.488796,0.00598831,0.0694522,0.0003531,6.70485,0.23479,0.177968,13000,16
-1.98911,-1.51832,-1.31595,-0.146496,-0.423729,-0.403129,-0.40523,-0.639569,0.00957578,0.0540694,0.000702258,6.68546,0.234339,0.178448,14000,17
-1.82472,-1.54381,-1.33991,0.0394896,-0.497668,-0.226215,-0.758079,-0.491726,0.00486043,0.0491641,0.000339885,6.65254,0.230369,0.175277,15000,18
-1.9871,-1.4377,-1.25703,-0.199592,-0.425237,-0.396925,-0.786803,-0.50441,0.00632749,0.0610796,0.00203904,6.7185,0.231434,0.17917,16000,20
-1.92803,-1.29232,-1.12218,-0.374852,-0.644267,-0.451476,-0.911963,-0.744193,0.0138433,0.0666325,0.00137333,6.6936,0.22996,0.178176,17000,21
-1.85855,-1.36712,-1.16095,-0.295215,-0.561463,-0.431847,-0.99178,-0.612247,0.00741149,0.0646004,0.000136617,6.66168,0.232279,0.177653,18000,21
-1.64204,-1.05873,-0.862228,-0.560572,-0.961402,-0.622042,-1.5555,-0.826878,0.0152503,0.071074,0.00188543,6.67651,0.230223,0.176829,19000,22
-1.58742,-1.07588,-0.867233,-0.496902,-0.906867,-0.621818,-1.51216,-0.832064,0.0112668,0.0666782,0.000324955,6.77031,0.230633,0.17474,20000,23
-1.65284,-1.02957,-0.820662,-0.693079,-0.878452,-0.633125,-1.67202,-0.745735,0.0116114,0.0676945,0.000790992,6.66005,0.232163,0.178455,21000,24
-1.36933,-0.84052,-0.608372,-0.877246,-1.13519,-0.765225,-2.07756,-0.877265,0.00889388,0.0583235,0.000126487,6.58598,0.233783,0.17519,22000,25
-1.39676,-0.816317,-0.607091,-0.750854,-1.15232,-0.759818,-2.0617,-0.895291,0.0107896,0.0687299,0.000356846,6.6809,0.227448,0.175012,23000,26
-1.56448,-0.990754,-0.763786,-0.73702,-0.936892,-0.660195,-1.78073,-0.847863,0.00768719,0.0655491,0.000899399,6.57039,0.230988,0.172858,24000,27
-1.513,-0.950907,-0.730675,-0.633559,-1.00099,-0.583223,-2.10233,-0.629565,0.00813947,0.065601,0.000217088,6.64232,0.230984,0.176743,25000,28
