BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, BetaP_SE_7, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-9.08697,-7.38778,-0.313953,0.00600453,-0.0229036,0.0250263,-0.0413396,-0.0293668,0.338506,6.69283,0.2,0.162433,0,0
-3.30478,-2.83377,-2.70422,1.29067,0.998812,1.27094,1.73383,0.736919,0.0421874,6.09083,0.252476,0.204988,1000,2
-3.04659,-2.69989,-2.53714,1.13862,0.717657,0.940795,1.55394,0.22443,0.0322612,6.39296,0.239693,0.190785,2000,3
-2.94804,-2.60217,-2.409,1.06278,0.442109,0.71401,1.57897,-0.204241,0.0418077,6.56576,0.24043,0.18678,3000,4
-2.79955,-2.48321,-2.27762,0.989208,0.362674,0.534132,1.42394,-0.31369,0.0389613,6.54042,0.240351,0.182734,4000,5
-2.73958,-2.39832,-2.19192,0.831924,0.327487,0.372604,1.32214,-0.346588,0.0394273,6.55261,0.240849,0.181744,5000,7
-2.53084,-2.1975,-2.00536,0.7373,0.0435245,0.270611,0.74212,-0.264441,0.0509283,6.57812,0.236188,0.183455,6000,8
-2.52559,-2.1272,-1.90684,0.581798,-0.00569108,0.158662,0.730528,-0.405074,0.0556466,6.61712,0.238115,0.181917,7000,9
-2.33343,-2.08873,-1.88242,0.658343,-0.075573,0.22798,0.35721,-0.25296,0.0445424,6.67443,0.239419,0.181711,8000,11
-2.22922,-1.91086,-1.7074,0.417719,-0.193224,0.0488921,0.0782783,-0.446459,0.0503288,6.60592,0.234399,0.179321,9000,12
-1.92659,-1.5921,-1.38649,0.00427477,-0.487867,-0.191529,-0.498278,-0.552432,0.0502345,6.74449,0.235191,0.177103,10000,13
-1.79079,-1.484,-1.30733,0.125267,-0.629835,-0.167097,-0.934174,-0.494899,0.0514131,6.66356,0.233887,0.176966,11000,14
-1.89227,-1.61667,-1.3933,0.180073,-0.507183,-0.0637593,-0.723277,-0.424266,0.0490417,6.77723,0.235223,0.179998,12000,16
-1.82173,-1.47029,-1.26521,0.0168902,-0.656301,-0.229007,-0.848336,-0.5348,0.0535103,6.68149,0.23718,0.180687,13000,17
-1.67022,-1.39203,-1.1689,-0.0554078,-0.717729,-0.324652,-1.08715,-0.561493,0.0453932,6.85324,0.233646,0.177997,14000,18
-1.65059,-1.25382,-1.06852,-0.270278,-0.788793,-0.4175,-1.22198,-0.570204,0.0505394,6.58693,0.235496,0.178231,15000,20
-1.51742,-1.17179,-0.965078,-0.338416,-0.911562,-0.431809,-1.53437,-0.610016,0.0499832,6.55293,0.230759,0.175835,16000,21
